"location","gender","age_arange","age_total"
금천구,남,from30to34,1158
금천구,남,from35to39,960
금천구,남,from40to44,1060
금천구,남,from45to49,1537
금천구,남,from50to54,1787
금천구,남,from55to59,1404
금천구,남,from60to64,507
금천구,남,from65to69,117
금천구,남,from70to74,24
금천구,남,from75to79,15
금천구,남,upto80,12
금천구,여,from0to4,390
금천구,여,from5to9,230
금천구,여,from10to14,68
금천구,여,from15to19,72
금천구,여,from20to24,156
금천구,여,from25to29,612
금천구,여,from30to34,794
금천구,여,from35to39,655
금천구,여,from40to44,623
금천구,여,from45to49,1141
금천구,여,from50to54,1462
금천구,여,from55to59,1296
금천구,여,from60to64,400
금천구,여,from65to69,106
금천구,여,from70to74,25
금천구,여,from75to79,12
금천구,여,upto80,17
노원구,남,from0to4,32
노원구,남,from5to9,21
노원구,남,from10to14,11
노원구,남,from15to19,133
노원구,남,from20to24,354
노원구,남,from25to29,252
노원구,남,from30to34,171
노원구,남,from35to39,122
노원구,남,from40to44,98
노원구,남,from45to49,112
노원구,남,from50to54,85
노원구,남,from55to59,58
노원구,남,from60to64,40
노원구,남,from65to69,14
노원구,남,from70to74,7
노원구,남,from75to79,5
노원구,남,upto80,2
노원구,여,from0to4,38
노원구,여,from5to9,17
노원구,여,from10to14,10
노원구,여,from15to19,151
노원구,여,from20to24,480
노원구,여,from25to29,361
노원구,여,from30to34,275
노원구,여,from35to39,179
노원구,여,from40to44,149
노원구,여,from45to49,146
노원구,여,from50to54,147
노원구,여,from55to59,115
노원구,여,from60to64,50
노원구,여,from65to69,16
노원구,여,from70to74,11
노원구,여,from75to79,6
노원구,여,upto80,4
도봉구,남,from0to4,30
도봉구,남,from5to9,19
도봉구,남,from10to14,8
도봉구,남,from15to19,22
도봉구,남,from20to24,84
도봉구,남,from25to29,122
도봉구,남,from30to34,109
도봉구,남,from35to39,90
도봉구,남,from40to44,62
도봉구,남,from45to49,82
도봉구,남,from50to54,68
도봉구,남,from55to59,41
도봉구,남,from60to64,35
도봉구,남,from65to69,14
도봉구,남,from70to74,5
도봉구,남,from75to79,1
도봉구,남,upto80,2
도봉구,여,from0to4,23
도봉구,여,from5to9,13
도봉구,여,from10to14,17
도봉구,여,from15to19,52
도봉구,여,from20to24,167
도봉구,여,from25to29,215
도봉구,여,from30to34,196
도봉구,여,from35to39,119
도봉구,여,from40to44,103
도봉구,여,from45to49,117
도봉구,여,from50to54,102
도봉구,여,from55to59,85
도봉구,여,from60to64,44
도봉구,여,from65to69,14
도봉구,여,from70to74,4
도봉구,여,from75to79,3
도봉구,여,upto80,0
동대문구,남,from0to4,128
동대문구,남,from5to9,82
동대문구,남,from10to14,40
동대문구,남,from15to19,553
동대문구,남,from20to24,1750
동대문구,남,from25to29,948
동대문구,남,from30to34,595
동대문구,남,from35to39,344
동대문구,남,from40to44,259
동대문구,남,from45to49,314
동대문구,남,from50to54,337
동대문구,남,from55to59,298
동대문구,남,from60to64,132
동대문구,남,from65to69,45
동대문구,남,from70to74,14
동대문구,남,from75to79,9
동대문구,남,upto80,13
동대문구,여,from0to4,138
동대문구,여,from5to9,63
동대문구,여,from10to14,51
동대문구,여,from15to19,1006
동대문구,여,from20to24,3909
동대문구,여,from25to29,1636
동대문구,여,from30to34,660
동대문구,여,from35to39,388
동대문구,여,from40to44,259
동대문구,여,from45to49,351
동대문구,여,from50to54,407
동대문구,여,from55to59,382
동대문구,여,from60to64,163
동대문구,여,from65to69,52
동대문구,여,from70to74,16
동대문구,여,from75to79,13
동대문구,여,upto80,9
동작구,남,from0to4,144
동작구,남,from5to9,92
동작구,남,from10to14,34
동작구,남,from15to19,220
동작구,남,from20to24,881
동작구,남,from25to29,695
동작구,남,from30to34,583
동작구,남,from35to39,419
동작구,남,from40to44,341
동작구,남,from45to49,533
동작구,남,from50to54,686
동작구,남,from55to59,621
동작구,남,from60to64,231
동작구,남,from65to69,53
동작구,남,from70to74,20
동작구,남,from75to79,5
동작구,남,upto80,14
동작구,여,from0to4,148
동작구,여,from5to9,72
동작구,여,from10to14,35
동작구,여,from15to19,333
동작구,여,from20to24,1821
동작구,여,from25to29,831
동작구,여,from30to34,560
동작구,여,from35to39,317
동작구,여,from40to44,310
동작구,여,from45to49,524
동작구,여,from50to54,753
동작구,여,from55to59,675
동작구,여,from60to64,233
동작구,여,from65to69,53
동작구,여,from70to74,18
동작구,여,from75to79,8
동작구,여,upto80,13
마포구,남,from0to4,105
마포구,남,from5to9,91
