"location","gender","visa_type","visa_total"
강서구,남,기업투자(D-8),"37"
강서구,남,무역경영(D-9),"6"
강서구,남,교수(E-1),"3"
강서구,남,선원취업(E-10),"0"
강서구,남,회화(E-2),"51"
강서구,남,연구(E-3),"2"
강서구,남,기술지도(E-4),"50"
강서구,남,전문직업(E-5),"504"
강서구,남,예술흥행(E-6),"5"
강서구,남,특정활동(E-7),"81"
강서구,남,비전문취업(E-9),"193"
강서구,남,방문동거(F-1),"284"
강서구,남,거주(F-2),"149"
강서구,남,동반(F-3),"33"
강서구,남,영주(F-5),"625"
강서구,남,결혼이민(F-6),"271"
강서구,남,기타(G-1),"30"
강서구,남,관광취업(H-1),"5"
강서구,남,방문취업(H-2),"730"
강서구,남,기타,"1"
강서구,여,문화예술(D-1),"0"
강서구,여,구직(D-10),"33"
강서구,여,유학(D-2),"68"
강서구,여,기술연수(D-3),"1"
강서구,여,일반연수(D-4),"65"
강서구,여,취재(D-5),"0"
강서구,여,종교(D-6),"6"
강서구,여,주재(D-7),"1"
강서구,여,기업투자(D-8),"6"
강서구,여,무역경영(D-9),"1"
강서구,여,교수(E-1),"4"
강서구,여,선원취업(E-10),"0"
강서구,여,회화(E-2),"75"
강서구,여,연구(E-3),"0"
강서구,여,기술지도(E-4),"0"
강서구,여,전문직업(E-5),"3"
강서구,여,예술흥행(E-6),"1"
강서구,여,특정활동(E-7),"50"
강서구,여,비전문취업(E-9),"10"
강서구,여,방문동거(F-1),"408"
강서구,여,거주(F-2),"188"
강서구,여,동반(F-3),"84"
강서구,여,영주(F-5),"885"
강서구,여,결혼이민(F-6),"904"
강서구,여,기타(G-1),"7"
강서구,여,관광취업(H-1),"21"
강서구,여,방문취업(H-2),"553"
강서구,여,기타,"4"
관악구,남,문화예술(D-1),"9"
관악구,남,구직(D-10),"63"
관악구,남,유학(D-2),"705"
관악구,남,기술연수(D-3),"2"
관악구,남,일반연수(D-4),"177"
관악구,남,취재(D-5),"0"
관악구,남,종교(D-6),"9"
관악구,남,주재(D-7),"0"
관악구,남,기업투자(D-8),"17"
관악구,남,무역경영(D-9),"4"
관악구,남,교수(E-1),"61"
관악구,남,선원취업(E-10),"0"
관악구,남,회화(E-2),"72"
관악구,남,연구(E-3),"101"
관악구,남,기술지도(E-4),"0"
관악구,남,전문직업(E-5),"0"
관악구,남,예술흥행(E-6),"3"
관악구,남,특정활동(E-7),"149"
관악구,남,비전문취업(E-9),"70"
관악구,남,방문동거(F-1),"685"
관악구,남,거주(F-2),"410"
관악구,남,동반(F-3),"91"
관악구,남,영주(F-5),"1751"
